,overall,value_eur,age,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
21,89,119500000.0,22,3,1,69.0,54.0,58.0,64.0,56.0,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72,18,30,26,14,60,24,68,20,14,16,91,83,79,85,90
22,88,24000000.0,35,3,3,70.0,70.0,76.0,74.0,88.0,66,65,92,82,69,65,74,76,83,83,71,69,77,92,66,79,93,78,84,64,90,87,73,71,92,88,84,89,91,11,8,9,7,11
23,88,44500000.0,34,4,3,72.0,90.0,82.0,84.0,47.0,80,93,84,83,90,83,86,82,77,86,76,69,75,92,78,89,69,78,85,88,87,41,91,84,83,87,42,45,38,27,25,31,33,37
24,88,75000000.0,31,5,3,53.0,81.0,91.0,81.0,71.0,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,90,73,88,71,73,60,10,11,13,7,10
25,88,93500000.0,28,4,3,84.0,87.0,74.0,78.0,39.0,73,92,89,77,78,83,78,66,70,77,81,87,60,91,52,89,76,71,95,74,71,27,89,75,88,86,30,41,30,8,15,14,7,10
26,88,15500000.0,34,3,1,69.0,54.0,58.0,64.0,56.0,11,15,11,40,11,24,21,15,37,30,54,53,60,85,61,56,74,39,75,13,32,22,16,68,25,67,28,14,14,89,84,75,87,89
27,88,107500000.0,26,3,4,91.0,82.0,79.0,87.0,45.0,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,47,53,47,15,12,12,15,9
28,88,107500000.0,26,3,4,75.0,86.0,89.0,84.0,70.0,87,83,64,91,87,83,87,87,88,87,77,73,80,91,79,89,73,91,70,89,78,66,87,90,91,87,72,73,65,12,14,15,8,14
29,88,137500000.0,20,3,3,89.0,91.0,65.0,80.0,45.0,47,94,69,77,88,78,77,62,51,85,82,94,75,88,72,94,74,82,93,87,85,43,89,71,76,84,44,43,30,7,14,13,11,7
30,87,51000000.0,33,4,4,71.0,89.0,75.0,87.0,33.0,70,93,78,80,85,86,83,73,64,88,75,68,82,89,90,90,78,62,74,83,65,24,91,80,75,91,30,29,24,13,15,6,11,14
31,87,13500000.0,34,1,1,69.0,54.0,58.0,64.0,56.0,13,10,10,50,11,10,11,10,50,34,61,62,55,85,54,49,74,41,43,14,31,27,10,50,40,65,29,10,18,88,83,65,84,90
32,87,32000000.0,35,4,4,73.0,76.0,89.0,88.0,72.0,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82,92,70,75,71,13,9,7,14,9
33,87,49500000.0,33,2,5,83.0,81.0,86.0,87.0,48.0,88,79,51,84,78,88,91,88,82,87,83,83,94,84,76,83,73,78,62,86,73,42,84,88,73,86,41,55,52,10,7,11,12,11
34,87,42000000.0,31,3,1,69.0,54.0,58.0,64.0,56.0,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,86,82,73,87,88
35,87,66000000.0,31,4,3,67.0,84.0,83.0,80.0,56.0,85,88,81,85,84,77,81,59,79,84,66,67,73,94,71,78,77,86,66,82,62,58,96,85,70,84,47,57,46,6,7,11,14,14
36,87,67500000.0,31,4,3,86.0,87.0,67.0,81.0,39.0,55,91,81,80,85,80,70,51,53,83,84,87,75,90,85,86,82,78,76,80,77,40,91,71,88,79,34,33,32,6,8,15,12,6
37,87,79500000.0,28,4,5,71.0,81.0,86.0,86.0,65.0,77,75,74,88,84,88,85,82,92,90,63,77,73,83,67,90,82,77,89,84,78,65,80,89,81,88,59,67,63,5,6,2,4,3
38,87,79500000.0,28,4,4,64.0,61.0,87.0,91.0,79.0,82,60,57,90,64,91,85,64,89,92,68,60,91,87,94,60,67,76,54,58,89,85,78,89,64,94,78,82,84,12,12,15,15,10
39,87,90500000.0,27,3,3,81.0,53.0,75.0,74.0,89.0,68,51,88,84,35,69,58,32,85,79,81,81,69,87,67,65,92,83,78,45,81,88,68,74,52,86,89,89,89,6,6,12,10,13
40,87,93000000.0,26,4,3,81.0,82.0,82.0,84.0,81.0,75,82,86,86,69,84,76,75,84,87,78,83,76,88,71,85,79,88,88,86,81,86,85,84,60,82,74,85,77,13,8,15,11,9
41,87,93000000.0,27,3,4,84.0,86.0,86.0,90.0,40.0,82,85,59,87,88,90,90,88,79,93,88,80,92,80,94,84,75,70,61,89,43,42,82,91,84,79,32,41,39,5,4,4,5,8
42,87,83500000.0,27,2,3,84.0,61.0,81.0,81.0,82.0,88,55,67,82,32,81,82,71,76,83,83,85,78,85,74,76,62,95,65,65,85,83,77,80,55,83,83,84,81,11,8,10,7,14
43,87,119500000.0,24,3,4,81.0,69.0,85.0,88.0,77.0,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90,76,76,77,7,13,10,10,9
44,87,114000000.0,22,4,3,79.0,68.0,88.0,80.0,80.0,92,60,69,86,62,78,87,85,90,86,77,80,73,82,73,82,66,88,63,75,74,82,77,87,55,81,80,83,79,14,15,14,6,7
45,87,116500000.0,21,3,5,81.0,76.0,82.0,91.0,36.0,82,83,38,87,83,92,84,65,70,90,85,78,91,85,90,73,51,77,68,65,44,39,83,87,62,86,32,39,32,7,11,10,11,13
46,87,102500000.0,24,4,2,61.0,38.0,65.0,68.0,88.0,54,29,87,81,32,64,46,48,74,74,57,65,59,87,56,74,78,88,88,22,92,85,39,51,45,81,90,89,85,7,8,13,7,12
47,86,12000000.0,36,3,2,68.0,46.0,60.0,59.0,89.0,63,33,77,65,45,57,60,31,67,57,67,69,53,80,57,78,91,71,91,49,88,89,28,50,50,83,93,89,88,3,3,2,4,3
48,86,7500000.0,36,3,1,69.0,54.0,58.0,64.0,56.0,12,10,10,42,12,18,20,14,40,21,45,50,47,79,36,49,78,41,69,19,25,22,12,41,23,69,25,10,13,81,81,65,92,87
49,86,44000000.0,32,3,3,56.0,59.0,77.0,73.0,89.0,65,57,88,82,61,69,66,53,86,79,47,64,61,88,62,71,70,66,86,49,71,89,57,80,68,89,90,90,86,15,6,10,5,6
50,86,47000000.0,32,3,3,86.0,69.0,81.0,83.0,77.0,85,73,70,85,60,81,80,63,79,85,87,86,90,80,85,64,80,87,61,66,75,81,83,78,59,80,74,78,80,13,15,13,6,13
51,86,65000000.0,30,3,5,63.0,72.0,86.0,90.0,70.0,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,67,71,68,6,11,7,9,13
52,86,45000000.0,32,3,3,42.0,62.0,79.0,80.0,82.0,62,67,68,87,44,81,66,68,85,86,40,43,67,86,50,61,66,78,72,54,81,85,77,83,60,90,84,82,81,5,8,13,9,13
53,86,53500000.0,32,4,3,50.0,83.0,90.0,81.0,71.0,86,83,61,92,72,82,88,90,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,70,70,69,5,9,12,14,8
54,86,52000000.0,29,2,1,69.0,54.0,58.0,64.0,56.0,15,15,14,35,13,14,20,13,37,23,44,46,50,83,43,60,58,44,72,18,33,16,15,42,20,40,11,19,17,85,83,80,84,87
55,86,65500000.0,30,4,4,87.0,78.0,85.0,90.0,36.0,77,76,59,87,74,90,87,86,84,93,90,84,89,79,93,76,50,74,34,82,34,26,81,89,87,81,53,24,22,8,4,14,9,10
56,86,55500000.0,30,3,2,81.0,28.0,51.0,65.0,87.0,30,22,84,63,14,69,28,28,63,64,74,87,51,83,34,55,82,70,94,15,83,85,35,52,33,82,90,88,86,7,11,7,13,5
57,86,68500000.0,28,3,2,82.0,49.0,64.0,65.0,87.0,42,46,86,78,42,55,46,52,76,78,79,85,62,84,39,52,81,76,86,53,80,85,55,59,43,83,86,88,87,11,11,9,5,14
58,86,65500000.0,30,4,5,81.0,79.0,81.0,90.0,38.0,81,81,48,83,76,91,85,78,75,91,84,79,92,81,88,79,56,75,57,79,48,39,80,84,70,84,45,31,22,15,9,13,11,6
59,86,68000000.0,29,4,3,79.0,86.0,77.0,84.0,46.0,77,89,82,81,81,86,75,62,75,85,80,78,77,89,70,83,76,79,75,83,61,42,87,78,85,78,44,41,41,15,12,7,12,10
60,86,33000000.0,34,4,3,85.0,84.0,70.0,80.0,52.0,69,90,79,74,84,78,68,60,60,82,85,85,76,91,76,87,80,76,66,67,87,49,92,76,85,88,45,52,54,15,14,7,15,11
61,86,73500000.0,27,2,3,67.0,69.0,78.0,78.0,85.0,75,63,75,84,47,78,71,53,82,81,65,68,64,86,64,81,75,88,81,70,85,87,70,75,90,84,86,87,85,13,12,6,8,8
62,86,71500000.0,27,4,4,85.0,71.0,83.0,84.0,80.0,86,68,72,85,62,85,84,69,78,85,86,84,80,85,78,80,72,90,62,75,73,80,80,83,46,85,79,82,80,6,9,15,14,14
63,86,77000000.0,27,3,2,63.0,50.0,72.0,69.0,86.0,58,45,84,82,40,63,61,69,80,78,59,67,57,87,60,68,80,72,84,47,81,87,54,65,44,84,86,87,86,10,11,5,14,5
64,86,81000000.0,25,3,4,93.0,76.0,79.0,88.0,30.0,79,75,61,80,77,89,83,70,74,88,94,93,91,85,84,80,73,69,64,73,35,23,85,81,70,78,29,27,21,5,3,5,3,5
65,86,80000000.0,26,3,4,80.0,76.0,83.0,91.0,54.0,85,77,51,86,70,92,84,67,76,90,83,77,94,84,92,76,51,93,54,76,70,54,83,84,68,87,49,63,45,9,10,14,12,9
66,86,88000000.0,26,4,3,88.0,80.0,81.0,82.0,78.0,74,81,67,86,64,82,73,58,83,84,86,90,82,86,69,84,69,90,79,79,83,82,87,86,64,83,79,80,74,13,6,6,11,15
67,86,81000000.0,25,4,3,61.0,70.0,77.0,78.0,82.0,63,64,78,85,59,78,65,54,83,82,60,62,65,80,65,83,72,87,82,76,76,83,75,81,46,83,83,84,78,10,10,7,14,8
68,86,74000000.0,26,3,2,80.0,41.0,53.0,69.0,87.0,40,42,81,72,40,67,34,30,49,72,76,84,54,86,56,50,84,79,86,30,84,86,30,46,56,87,90,88,82,10,13,12,8,12
69,85,33500000.0,33,4,4,87.0,78.0,84.0,87.0,39.0,83,77,38,85,72,85,85,79,80,86,91,83,93,86,93,79,70,75,44,82,56,40,80,86,72,85,50,30,34,8,11,12,9,6
70,85,9000000.0,34,3,1,69.0,54.0,58.0,64.0,56.0,18,12,16,44,15,12,13,15,46,40,45,51,61,82,47,60,60,34,64,14,35,20,13,59,26,67,14,14,13,84,78,80,83,90
71,85,9500000.0,36,3,2,53.0,54.0,72.0,72.0,86.0,60,40,81,80,61,67,62,61,80,79,52,54,67,82,66,71,88,68,82,65,76,88,59,71,60,86,87,86,84,9,12,5,9,10
72,85,22000000.0,35,2,4,63.0,74.0,87.0,87.0,52.0,83,72,53,90,82,86,82,77,83,90,70,57,84,85,89,72,61,66,45,73,56,50,86,90,75,91,58,53,29,6,15,7,6,12
73,85,26500000.0,32,4,1,69.0,54.0,58.0,64.0,56.0,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,63,73,45,68,12,38,21,15,64,24,57,9,19,12,79,81,84,86,86
74,85,26000000.0,34,4,3,66.0,86.0,70.0,76.0,51.0,68,89,88,75,86,74,76,74,52,81,64,68,68,90,57,87,88,81,77,77,81,54,93,75,85,85,45,48,39,12,5,13,13,10
75,85,52000000.0,30,4,4,84.0,80.0,82.0,88.0,35.0,77,78,61,85,82,89,83,79,81,88,86,82,87,79,89,82,55,77,61,77,54,41,83,84,87,89,34,27,22,11,12,6,8,8
76,85,17500000.0,34,4,2,64.0,58.0,69.0,72.0,86.0,44,48,83,81,58,69,56,60,81,79,60,68,59,82,53,74,90,65,86,65,82,86,38,71,70,86,88,85,81,2,2,3,2,4
77,85,28500000.0,31,2,1,69.0,54.0,58.0,64.0,56.0,16,10,23,35,10,19,18,11,31,25,42,44,41,81,42,57,67,35,74,12,34,23,11,44,24,45,25,16,20,85,84,76,82,86
78,85,51500000.0,30,4,4,65.0,80.0,85.0,86.0,73.0,78,80,50,88,75,86,86,80,85,89,66,65,77,86,77,79,61,74,73,81,70,78,82,86,80,87,76,75,67,11,14,5,5,13
79,85,43000000.0,32,4,4,73.0,84.0,84.0,85.0,47.0,85,84,44,85,85,85,88,85,79,86,76,71,83,86,82,86,68,67,66,83,51,49,85,86,76,85,52,38,54,12,12,13,13,11
80,85,39000000.0,31,2,3,92.0,63.0,76.0,78.0,80.0,77,51,74,79,57,79,76,71,77,81,89,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,77,84,83,12,6,16,15,8
81,85,43500000.0,32,4,4,89.0,85.0,75.0,80.0,35.0,76,89,73,77,83,79,81,76,64,81,87,91,77,86,67,82,75,79,74,78,43,48,90,77,83,87,20,29,36,6,9,15,9,9
82,85,52500000.0,29,4,3,70.0,75.0,85.0,81.0,79.0,85,72,61,86,56,80,85,76,84,83,72,69,73,88,82,83,59,93,75,80,79,83,83,86,67,86,82,81,70,14,12,5,10,13
83,85,53000000.0,30,3,4,80.0,84.0,84.0,87.0,52.0,83,84,83,84,86,85,86,85,82,89,80,80,92,89,83,82,90,86,63,83,73,49,89,85,79,90,43,54,49,14,8,14,13,14
84,85,45000000.0,29,3,2,72.0,41.0,64.0,70.0,87.0,49,25,84,75,27,66,45,16,71,75,69,74,61,85,59,65,79,80,79,60,77,87,31,70,41,85,89,87,85,8,10,7,14,13
85,85,54000000.0,29,4,5,77.0,78.0,79.0,89.0,59.0,73,78,78,84,83,89,81,65,76,90,77,77,85,86,86,79,81,87,74,76,75,58,82,83,72,88,55,64,42,8,11,9,6,10
86,85,63000000.0,27,3,5,82.0,83.0,82.0,84.0,30.0,84,83,65,81,74,86,85,83,76,85,81,83,80,83,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20,8,14,6,12,10
87,85,47500000.0,29,3,3,80.0,54.0,78.0,80.0,81.0,82,51,72,83,49,78,76,47,74,83,79,80,79,83,81,68,77,89,74,47,84,81,75,74,45,81,82,82,84,13,13,15,9,15
88,85,52500000.0,29,3,3,55.0,67.0,86.0,81.0,73.0,75,64,56,92,71,79,75,76,89,87,61,50,77,82,72,71,58,87,66,62,79,81,69,88,91,81,67,81,71,14,7,13,14,8
89,85,64500000.0,25,4,4,83.0,84.0,79.0,86.0,43.0,74,86,42,82,83,88,74,62,78,83,90,77,87,86,88,87,65,78,68,82,63,38,86,83,68,80,45,44,43,14,10,10,9,7
90,85,66000000.0,26,5,4,68.0,79.0,80.0,81.0,79.0,64,80,86,85,74,84,80,78,85,86,66,70,62,83,63,83,85,91,87,80,79,78,79,82,56,84,78,79,74,7,10,7,16,7
91,85,66500000.0,24,4,3,67.0,62.0,69.0,74.0,87.0,53,50,72,78,68,72,60,60,75,77,65,68,69,88,66,80,90,90,78,70,87,90,67,67,57,80,87,90,85,13,14,7,7,13
92,85,77500000.0,24,3,3,82.0,82.0,81.0,84.0,41.0,82,84,60,83,74,85,77,71,73,85,83,81,83,81,80,80,72,82,57,81,52,29,85,85,84,83,55,32,30,10,6,10,13,11
93,85,78000000.0,23,4,4,84.0,81.0,72.0,85.0,48.0,56,85,87,78,88,83,78,43,73,85,86,83,86,89,89,80,88,80,84,74,86,45,86,81,74,83,55,31,44,11,8,8,8,13
94,85,77500000.0,23,3,5,90.0,84.0,79.0,84.0,43.0,80,83,68,80,73,86,83,76,71,84,86,93,84,84,75,92,74,86,75,81,73,42,83,81,84,80,45,38,33,11,6,15,7,14
95,85,69500000.0,22,4,3,95.0,71.0,78.0,83.0,76.0,86,73,68,81,60,84,68,55,73,83,95,95,86,84,79,77,80,91,73,70,75,78,78,75,46,80,75,78,76,10,8,14,6,8
96,85,75000000.0,21,3,2,73.0,59.0,60.0,69.0,84.0,52,50,85,75,45,65,48,55,63,73,71,75,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,85,85,12,11,11,12,10
97,84,14500000.0,39,4,5,65.0,87.0,78.0,79.0,34.0,72,86,83,80,88,78,80,75,73,86,64,66,71,83,53,88,79,52,87,88,84,20,89,84,83,90,28,37,24,13,15,10,9,12
98,84,13000000.0,35,2,4,87.0,69.0,81.0,83.0,79.0,85,65,73,83,75,84,82,46,79,83,90,84,82,84,84,74,63,82,39,70,75,80,81,83,56,82,82,77,79,10,10,15,7,13
99,84,13500000.0,34,3,2,58.0,61.0,71.0,68.0,85.0,57,65,84,80,57,63,58,43,80,80,50,64,57,85,35,62,74,63,86,51,79,85,64,72,69,87,86,85,83,10,11,14,15,8
100,84,20500000.0,34,4,4,85.0,82.0,80.0,88.0,34.0,73,84,40,84,70,88,82,82,72,88,90,80,93,80,92,80,58,66,37,81,59,36,82,84,79,81,23,40,40,7,10,8,10,4
101,84,40500000.0,30,4,4,77.0,75.0,80.0,86.0,79.0,72,75,78,87,73,85,78,73,81,88,78,76,84,86,88,78,81,93,74,73,75,80,79,79,74,86,79,80,70,16,6,14,12,6
102,84,29500000.0,31,3,3,66.0,74.0,83.0,79.0,78.0,82,73,65,85,71,78,80,74,87,83,67,66,69,85,68,77,78,86,78,75,83,81,78,80,64,82,79,81,76,7,13,7,9,13
103,84,21000000.0,33,3,3,66.0,62.0,75.0,74.0,83.0,62,54,74,84,56,71,65,53,79,78,65,67,70,83,62,76,76,82,81,68,85,85,59,76,54,78,84,85,83,7,5,9,3,5
104,84,36500000.0,30,4,3,73.0,63.0,82.0,77.0,80.0,86,54,79,81,58,74,86,82,80,82,74,73,73,81,77,75,78,87,64,70,73,80,76,80,66,77,79,81,80,11,14,8,11,10
105,84,27000000.0,33,4,3,82.0,85.0,79.0,86.0,35.0,80,89,77,80,83,87,79,83,73,86,78,86,90,84,72,79,66,69,60,81,63,39,84,81,82,85,39,21,18,12,16,9,12,13
106,84,28000000.0,30,3,1,69.0,54.0,58.0,64.0,56.0,17,13,21,48,13,18,21,19,43,38,57,58,63,83,43,57,67,43,55,12,38,30,12,61,29,63,25,21,13,86,79,76,79,87
107,84,35500000.0,29,4,3,77.0,70.0,81.0,80.0,83.0,80,60,74,85,67,77,77,85,80,84,78,77,76,88,77,82,81,75,76,78,74,85,73,78,79,85,86,83,82,5,7,14,15,9
108,84,42500000.0,28,3,4,60.0,76.0,86.0,84.0,57.0,69,77,49,92,76,85,86,79,90,91,61,59,69,74,83,78,53,75,64,76,29,59,76,92,56,78,58,58,52,6,8,6,12,11
109,84,33500000.0,32,3,4,69.0,81.0,85.0,85.0,43.0,86,83,66,87,80,85,85,79,80,87,67,70,76,83,84,79,59,88,80,77,56,41,85,88,86,86,51,34,26,11,11,14,9,16
110,84,41500000.0,30,5,4,82.0,84.0,77.0,87.0,39.0,74,88,74,82,84,87,82,76,66,87,83,81,91,86,91,84,78,75,69,74,62,44,90,80,85,85,34,33,26,6,13,9,7,7
111,84,40500000.0,27,2,3,79.0,69.0,80.0,80.0,80.0,88,60,71,81,68,78,83,83,73,84,81,77,74,83,78,83,94,86,69,76,76,82,73,75,60,81,78,83,84,6,12,9,6,13
112,84,27000000.0,33,4,5,75.0,86.0,84.0,86.0,40.0,82,85,58,86,83,88,85,83,77,88,76,74,83,80,73,88,34,65,74,89,58,46,85,87,78,80,41,32,26,13,13,8,12,6
113,84,33500000.0,28,4,1,69.0,54.0,58.0,64.0,56.0,22,16,26,50,13,13,22,20,51,35,59,57,49,80,49,62,60,40,70,16,37,13,12,66,42,60,11,20,20,85,83,82,83,85
114,84,42500000.0,28,3,2,50.0,55.0,69.0,70.0,85.0,51,48,87,78,47,71,48,46,84,76,47,53,50,84,41,75,85,82,90,52,84,86,61,70,44,85,87,83,78,14,16,9,14,9
115,84,34500000.0,30,3,2,64.0,35.0,57.0,58.0,87.0,35,34,84,73,27,47,34,28,72,67,60,67,59,83,45,43,86,53,83,31,86,87,29,55,37,80,90,86,83,14,13,14,13,12
116,84,48000000.0,27,4,3,78.0,84.0,81.0,80.0,67.0,74,81,60,84,82,79,76,78,81,82,75,81,75,86,80,88,71,85,76,88,77,66,83,83,72,80,71,70,59,11,13,14,15,13
117,84,48500000.0,25,2,3,79.0,54.0,79.0,80.0,81.0,85,44,78,82,56,80,83,54,69,82,76,81,75,82,77,70,83,80,79,54,84,79,78,81,44,83,83,83,79,10,12,13,7,7
118,84,50500000.0,25,3,4,80.0,76.0,83.0,88.0,46.0,81,77,36,85,72,89,78,74,82,88,81,79,85,79,84,76,36,80,61,80,60,44,81,85,58,88,48,49,43,11,6,11,10,13
119,84,42500000.0,27,3,2,62.0,58.0,72.0,66.0,86.0,68,55,84,79,53,61,44,42,78,75,54,69,55,86,49,74,77,75,84,46,74,84,55,72,67,71,87,89,79,12,10,6,8,10
120,84,27500000.0,32,3,2,61.0,41.0,58.0,62.0,85.0,45,39,83,73,44,57,32,30,69,64,55,66,66,81,52,46,89,68,90,41,89,85,34,50,47,75,86,85,82,9,11,14,9,7
121,84,45000000.0,27,4,4,88.0,81.0,78.0,85.0,45.0,81,81,53,79,70,88,81,79,73,85,89,88,87,80,73,85,71,80,61,82,65,43,80,77,81,79,44,47,35,9,11,9,10,10
122,84,42500000.0,28,2,3,88.0,77.0,82.0,83.0,68.0,91,75,59,80,70,85,79,80,75,82,89,88,76,82,79,85,67,90,77,78,80,63,79,81,64,80,69,72,68,13,14,12,12,13
123,84,42500000.0,28,2,5,78.0,76.0,87.0,83.0,50.0,88,73,52,86,74,83,90,78,89,85,79,77,85,84,78,83,35,79,58,77,73,52,82,89,67,79,44,56,40,11,7,11,8,14
124,84,40500000.0,27,2,4,75.0,77.0,85.0,88.0,76.0,84,77,43,88,79,88,85,82,82,87,84,67,88,86,90,79,53,79,50,80,52,83,79,85,44,86,79,79,78,12,6,8,11,8
125,84,40500000.0,27,4,3,83.0,67.0,78.0,82.0,80.0,82,66,67,82,59,81,78,52,77,83,82,83,79,83,82,74,75,84,69,64,79,79,77,76,61,81,80,84,83,16,12,15,11,11
126,84,56500000.0,25,4,3,91.0,81.0,70.0,82.0,35.0,69,81,76,79,84,82,70,58,55,84,93,89,82,87,76,85,75,83,65,77,63,37,88,68,78,79,39,20,19,9,9,8,15,9
127,84,49500000.0,25,4,1,69.0,54.0,58.0,64.0,56.0,18,15,17,55,16,32,28,16,46,40,49,51,39,82,55,64,74,39,78,20,30,25,15,60,15,65,23,16,19,83,81,85,84,86
